,name,description,variables
13,B17013,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF PERSONS IN FAMILY,http://api.census.gov/data/2019/acs/acs5/groups/B17013.json
14,B18102,SEX BY AGE BY HEARING DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18102.json
15,B17014,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY NUMBER OF WORKERS IN FAMILY,http://api.census.gov/data/2019/acs/acs5/groups/B17014.json
16,B18103,SEX BY AGE BY VISION DIFFICULTY,http://api.census.gov/data/2019/acs/acs5/groups/B18103.json
17,B19301E,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301E.json
18,B19301D,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301D.json
19,B19301C,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301C.json
20,B19301B,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301B.json
21,B17010,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN,http://api.census.gov/data/2019/acs/acs5/groups/B17010.json
22,B19301I,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B19301I.json
23,B98013,TOTAL POPULATION COVERAGE RATE BY WEIGHTING RACE AND HISPANIC OR LATINO GROUPS,http://api.census.gov/data/2019/acs/acs5/groups/B98013.json
24,B99102,ALLOCATION OF GRANDPARENTS LIVING WITH GRANDCHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B99102.json
25,B19301H,"PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B19301H.json
26,B98012,TOTAL POPULATION COVERAGE RATE BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B98012.json
27,B19301G,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B19301G.json
28,B99104,ALLOCATION OF LENGTH OF TIME GRANDPARENT RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS FOR THE POPULATION 30 YEARS AND OVER,http://api.census.gov/data/2019/acs/acs5/groups/B99104.json
29,B19301F,PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B19301F.json
30,B98014,GROUP QUARTERS POPULATION COVERAGE RATE,http://api.census.gov/data/2019/acs/acs5/groups/B98014.json
31,B99103,ALLOCATION OF GRANDPARENTS RESPONSIBLE FOR GRANDCHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B99103.json
32,B08536,AGGREGATE TRAVEL TIME TO WORK (IN MINUTES) OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08536.json
33,B08537,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08537.json
34,B07203,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07203.json
35,B08534,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08534.json
36,B98011,HOUSING UNIT COVERAGE RATE,http://api.census.gov/data/2019/acs/acs5/groups/B98011.json
37,B07204,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",http://api.census.gov/data/2019/acs/acs5/groups/B07204.json
38,B07408PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07408PR.json
39,B07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07201.json
40,B08532,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08532.json
41,B07202,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07202.json
42,B07404APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07404APR.json
43,B17019,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY HOUSEHOLD TYPE BY TENURE,http://api.census.gov/data/2019/acs/acs5/groups/B17019.json
44,B17004,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE,http://api.census.gov/data/2019/acs/acs5/groups/B17004.json
45,B17005,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B17005.json
46,B17006,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,http://api.census.gov/data/2019/acs/acs5/groups/B17006.json
47,B17007,POVERTY STATUS IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS 15 YEARS AND OVER BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B17007.json
48,B07012PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07012PR.json
49,B18101I,AGE BY DISABILITY STATUS (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B18101I.json
50,B17001,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE,http://api.census.gov/data/2019/acs/acs5/groups/B17001.json
51,B17003,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT,http://api.census.gov/data/2019/acs/acs5/groups/B17003.json
52,B08303,TRAVEL TIME TO WORK,http://api.census.gov/data/2019/acs/acs5/groups/B08303.json
53,B98022,GROUP QUARTERS POPULATION RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS,http://api.census.gov/data/2019/acs/acs5/groups/B98022.json
54,B98021,HOUSING UNIT RESPONSE AND NONRESPONSE RATES WITH REASONS FOR NONINTERVIEWS,http://api.census.gov/data/2019/acs/acs5/groups/B98021.json
55,B08301,MEANS OF TRANSPORTATION TO WORK,http://api.census.gov/data/2019/acs/acs5/groups/B08301.json
56,B08302,TIME OF DEPARTURE TO GO TO WORK,http://api.census.gov/data/2019/acs/acs5/groups/B08302.json
57,B08541,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08541.json
58,B17008,AGGREGATE INCOME DEFICIT (DOLLARS) IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B17008.json
59,B17009,POVERTY STATUS BY WORK EXPERIENCE OF UNRELATED INDIVIDUALS BY HOUSEHOLDER STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B17009.json
60,B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B05008.json
61,B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B05007.json
62,B06004HPR,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",http://api.census.gov/data/2019/acs/acs5/groups/B06004HPR.json
63,B08519,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08519.json
64,B05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,http://api.census.gov/data/2019/acs/acs5/groups/B05009.json
65,B05004,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,http://api.census.gov/data/2019/acs/acs5/groups/B05004.json
66,B25097,MORTGAGE STATUS BY MEDIAN VALUE (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25097.json
67,B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B05003.json
68,B25096,MORTGAGE STATUS BY VALUE,http://api.census.gov/data/2019/acs/acs5/groups/B25096.json
69,B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B05006.json
70,B25099,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25099.json
71,B05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B05005.json
72,B25098,MORTGAGE STATUS BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25098.json
73,B08513,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08513.json
74,B08511,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08511.json
75,B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B05002.json
76,B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B05001.json
77,B25091,MORTGAGE STATUS BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25091.json
78,B25090,MORTGAGE STATUS BY AGGREGATE REAL ESTATE TAXES PAID (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25090.json
79,B25093,AGE OF HOUSEHOLDER BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25093.json
80,B25092,MEDIAN SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25092.json
81,B25095,HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,http://api.census.gov/data/2019/acs/acs5/groups/B25095.json
82,B25094,SELECTED MONTHLY OWNER COSTS,http://api.census.gov/data/2019/acs/acs5/groups/B25094.json
83,B07004DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07004DPR.json
84,B26103G,GROUP QUARTERS TYPE (3 TYPES) (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B26103G.json
85,B26103F,GROUP QUARTERS TYPE (3 TYPES) (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103F.json
86,B26103I,GROUP QUARTERS TYPE (3 TYPES) (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B26103I.json
87,B26103H,"GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B26103H.json
88,B26103C,GROUP QUARTERS TYPE (3 TYPES) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103C.json
89,B26103B,GROUP QUARTERS TYPE (3 TYPES) (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103B.json
90,B26103E,GROUP QUARTERS TYPE (3 TYPES) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103E.json
91,B26103D,GROUP QUARTERS TYPE (3 TYPES) (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103D.json
92,B98002,UNWEIGHTED GROUP QUARTERS POPULATION SAMPLE,http://api.census.gov/data/2019/acs/acs5/groups/B98002.json
93,B98001,UNWEIGHTED HOUSING UNIT SAMPLE,http://api.census.gov/data/2019/acs/acs5/groups/B98001.json
94,B26103A,GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B26103A.json
95,B08528,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08528.json
96,B98003,UNWEIGHTED TOTAL POPULATION SAMPLE,http://api.census.gov/data/2019/acs/acs5/groups/B98003.json
97,B05015,PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B05015.json
98,B25086,AGGREGATE PRICE ASKED (DOLLARS),http://api.census.gov/data/2019/acs/acs5/groups/B25086.json
99,B27023,PRIVATE HEALTH INSURANCE BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,http://api.census.gov/data/2019/acs/acs5/groups/B27023.json
100,B05014,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B05014.json
101,B25085,PRICE ASKED,http://api.census.gov/data/2019/acs/acs5/groups/B25085.json
102,B08526,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08526.json
103,B25088,MEDIAN SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25088.json
104,B25087,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,http://api.census.gov/data/2019/acs/acs5/groups/B25087.json
105,B08524,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08524.json
106,B27022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,http://api.census.gov/data/2019/acs/acs5/groups/B27022.json
107,B01001F,SEX BY AGE (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001F.json
108,B05011,PERIOD OF NATURALIZATION,http://api.census.gov/data/2019/acs/acs5/groups/B05011.json
109,B25014I,OCCUPANTS PER ROOM (HISPANIC OR LATINO HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014I.json
110,B08521,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08521.json
111,B01001G,SEX BY AGE (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B01001G.json
112,B05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,http://api.census.gov/data/2019/acs/acs5/groups/B05010.json
113,B25014H,"OCCUPANTS PER ROOM (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",http://api.census.gov/data/2019/acs/acs5/groups/B25014H.json
114,B25089,AGGREGATE SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25089.json
115,B08522,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,http://api.census.gov/data/2019/acs/acs5/groups/B08522.json
116,B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B01001H.json
117,B05013,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,http://api.census.gov/data/2019/acs/acs5/groups/B05013.json
118,B25014G,OCCUPANTS PER ROOM (TWO OR MORE RACES HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014G.json
119,B01001I,SEX BY AGE (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B01001I.json
120,B05012,NATIVITY IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B05012.json
121,B25014F,OCCUPANTS PER ROOM (SOME OTHER RACE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014F.json
122,B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001B.json
123,B25014E,OCCUPANTS PER ROOM (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014E.json
124,B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001C.json
125,B25014D,OCCUPANTS PER ROOM (ASIAN ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014D.json
126,B01001D,SEX BY AGE (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001D.json
127,B25014C,OCCUPANTS PER ROOM (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014C.json
128,B25080,AGGREGATE VALUE (DOLLARS) BY UNITS IN STRUCTURE,http://api.census.gov/data/2019/acs/acs5/groups/B25080.json
129,B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001E.json
130,B25014B,OCCUPANTS PER ROOM (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014B.json
131,B25014A,OCCUPANTS PER ROOM (WHITE ALONE HOUSEHOLDER),http://api.census.gov/data/2019/acs/acs5/groups/B25014A.json
132,B25082,AGGREGATE VALUE (DOLLARS) BY MORTGAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25082.json
133,B25081,MORTGAGE STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B25081.json
134,B27020,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY CITIZENSHIP STATUS,http://api.census.gov/data/2019/acs/acs5/groups/B27020.json
135,B01001A,SEX BY AGE (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01001A.json
136,B25083,MEDIAN VALUE (DOLLARS) FOR MOBILE HOMES,http://api.census.gov/data/2019/acs/acs5/groups/B25083.json
137,B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007C.json
138,B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007B.json
139,B07003PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07003PR.json
140,B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007A.json
141,B18140,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY DISABILITY STATUS BY SEX FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER WITH EARNINGS,http://api.census.gov/data/2019/acs/acs5/groups/B18140.json
142,B07009,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07009.json
143,B07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07008.json
144,B07007,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07007.json
145,B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B01002G.json
146,B07002,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07002.json
147,B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B01002H.json
148,B07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07001.json
149,B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B01002I.json
150,B07003,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,http://api.census.gov/data/2019/acs/acs5/groups/B07003.json
151,B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002C.json
152,B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002D.json
153,B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002E.json
154,B07404CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,http://api.census.gov/data/2019/acs/acs5/groups/B07404CPR.json
155,B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),http://api.census.gov/data/2019/acs/acs5/groups/B12007I.json
156,B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B01002F.json
157,B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)",http://api.census.gov/data/2019/acs/acs5/groups/B12007H.json
158,B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),http://api.census.gov/data/2019/acs/acs5/groups/B12007G.json
159,B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),http://api.census.gov/data/2019/acs/acs5/groups/B12007F.json
