STATE,NAME,COUNTY,TRACT,H_1ORMORE_VEHPP,H_FEWER_VEHPP,H_NO_VEH,H_SIZE_1,H_SIZE_2,H_SIZE_3,H_SIZE_4PLUS,P_MODE_AUTO_OTHER,P_MODE_TRANSIT,P_MODE_WALK_BIKE,P_MODE_WFH,REGION
50,"Census Tract 9663, Windsor County, Vermont",50027,50027966300,528,288,38,352,338,93,71,1568,0,32,56,1
50,"Census Tract 9656, Windsor County, Vermont",50027,50027965600,756,938,201,741,638,267,249,4053,132,87,57,1
50,"Census Tract 9660, Windsor County, Vermont",50027,50027966000,684,682,87,477,571,208,197,3360,0,126,51,1
50,"Census Tract 40.02, Chittenden County, Vermont",50007,50007004002,743,1199,200,801,828,384,129,4331,92,25,174,1
50,"Census Tract 9800, Chittenden County, Vermont",50007,50007980000,0,0,0,0,0,0,0,0,0,0,0,1
50,"Census Tract 9505, Essex County, Vermont",50009,50009950500,917,470,44,477,585,146,223,2785,16,24,78,1
50,"Census Tract 9591.01, Orange County, Vermont",50017,50017959101,480,421,36,218,414,163,142,2347,10,3,51,1
50,"Census Tract 9591.02, Orange County, Vermont",50017,50017959102,598,420,75,290,453,146,204,2306,18,5,134,1
50,"Census Tract 9655.01, Windsor County, Vermont",50027,50027965501,887,449,56,506,564,130,192,2488,26,25,98,1
50,"Census Tract 9655.02, Windsor County, Vermont",50027,50027965502,572,709,75,528,562,134,132,2815,50,7,72,1
50,"Census Tract 9514, Orleans County, Vermont",50019,50019951400,332,330,98,370,175,117,98,1510,0,48,17,1
50,"Census Tract 9515, Orleans County, Vermont",50019,50019951500,560,330,292,535,304,214,129,1690,36,66,73,1
50,"Census Tract 9520, Orleans County, Vermont",50019,50019952000,434,285,41,237,311,97,115,1386,6,31,109,1
50,"Census Tract 9513, Orleans County, Vermont",50019,50019951300,414,360,19,224,351,97,121,1615,0,32,15,1
50,"Census Tract 9516, Orleans County, Vermont",50019,50019951600,1408,799,116,539,996,424,364,4792,0,65,237,1
50,"Census Tract 9681, Windham County, Vermont",50025,50025968100,367,274,10,146,281,118,106,1384,36,27,108,1
50,"Census Tract 9682, Windham County, Vermont",50025,50025968200,425,221,20,201,279,87,99,1222,34,133,155,1
50,"Census Tract 9686, Windham County, Vermont",50025,50025968600,513,504,52,403,437,148,81,1694,18,164,145,1
50,"Census Tract 33.04, Chittenden County, Vermont",50007,50007003304,1033,1559,219,969,991,504,347,6216,226,264,236,1
50,"Census Tract 36, Chittenden County, Vermont",50007,50007003600,697,1257,302,733,1017,332,174,4814,140,206,69,1
50,"Census Tract 39, Chittenden County, Vermont",50007,50007003900,271,295,34,206,251,38,105,1483,234,1262,96,1
50,"Census Tract 9543, Washington County, Vermont",50023,50023954300,823,1174,141,563,907,302,366,5267,72,152,207,1
50,"Census Tract 9556, Washington County, Vermont",50023,50023955600,332,300,46,190,255,78,155,1248,12,59,81,1
50,"Census Tract 9542, Washington County, Vermont",50023,50023954200,607,480,26,274,475,145,219,2741,0,38,120,1
50,"Census Tract 9552, Washington County, Vermont",50023,50023955200,752,717,329,707,453,343,295,2977,84,126,2,1
50,"Census Tract 9541, Washington County, Vermont",50023,50023954100,539,514,27,259,456,177,188,2448,22,11,191,1
50,"Census Tract 9547, Washington County, Vermont",50023,50023954700,295,292,89,239,245,69,123,1126,100,101,98,1
50,"Census Tract 9558, Washington County, Vermont",50023,50023955800,250,233,9,156,186,81,69,1006,14,26,121,1
50,"Census Tract 9544, Washington County, Vermont",50023,50023954400,647,611,49,384,515,201,207,3422,8,40,145,1
50,"Census Tract 9546, Washington County, Vermont",50023,50023954600,242,673,108,343,321,187,172,2114,38,260,64,1
50,"Census Tract 9554, Washington County, Vermont",50023,50023955400,843,741,20,460,624,236,284,3907,0,138,91,1
50,"Census Tract 9548, Washington County, Vermont",50023,50023954800,285,622,168,505,406,103,61,1442,36,264,87,1
50,"Census Tract 9631, Rutland County, Vermont",50021,50021963100,407,844,321,707,413,306,146,3343,172,112,15,1
50,"Census Tract 9633, Rutland County, Vermont",50021,50021963300,1073,934,296,1051,882,222,148,4347,44,170,51,1
50,"Census Tract 9637, Rutland County, Vermont",50021,50021963700,507,435,86,299,374,138,217,2191,34,80,50,1
50,"Census Tract 9643, Rutland County, Vermont",50021,50021964300,314,223,12,183,204,83,79,1008,0,29,61,1
50,"Census Tract 9630, Rutland County, Vermont",50021,50021963000,1020,761,148,654,716,298,261,4164,102,155,91,1
50,"Census Tract 9624, Rutland County, Vermont",50021,50021962400,642,506,43,373,511,121,186,2734,0,34,92,1
50,"Census Tract 9627, Rutland County, Vermont",50021,50021962700,1078,546,224,631,724,268,225,3683,0,13,37,1
50,"Census Tract 9638, Rutland County, Vermont",50021,50021963800,870,680,168,572,686,281,179,3746,0,138,119,1
50,"Census Tract 9642, Rutland County, Vermont",50021,50021964200,350,227,23,137,282,56,125,1333,8,27,40,1
50,"Census Tract 9622, Rutland County, Vermont",50021,50021962200,775,768,133,633,638,182,223,3455,16,47,163,1
50,"Census Tract 9628, Rutland County, Vermont",50021,50021962800,739,481,34,394,549,116,195,2832,8,31,121,1
50,"Census Tract 9635, Rutland County, Vermont",50021,50021963500,430,287,13,171,328,88,143,1696,2,28,64,1
50,"Census Tract 9621, Rutland County, Vermont",50021,50021962100,373,324,6,210,286,83,124,1602,0,13,83,1
50,"Census Tract 9640, Rutland County, Vermont",50021,50021964000,822,523,42,370,624,204,189,3340,4,14,95,1
50,"Census Tract 9623, Rutland County, Vermont",50021,50021962300,585,358,58,317,383,148,153,1992,6,37,99,1
50,"Census Tract 9626, Rutland County, Vermont",50021,50021962600,412,566,23,322,422,141,116,2448,0,25,47,1
50,"Census Tract 9632, Rutland County, Vermont",50021,50021963200,524,595,151,510,580,40,140,2429,96,137,45,1
50,"Census Tract 9634, Rutland County, Vermont",50021,50021963400,559,389,81,281,469,158,121,2525,0,49,16,1
50,"Census Tract 9625, Rutland County, Vermont",50021,50021962500,344,346,22,190,286,121,115,1782,6,9,54,1
50,"Census Tract 9636, Rutland County, Vermont",50021,50021963600,1070,714,53,702,856,147,132,3834,30,202,142,1
50,"Census Tract 9511, Orleans County, Vermont",50019,50019951100,572,357,23,247,396,164,145,1779,0,33,67,1
50,"Census Tract 9517, Orleans County, Vermont",50019,50019951700,1056,626,65,457,699,255,336,3358,20,129,170,1
50,"Census Tract 9518, Orleans County, Vermont",50019,50019951800,642,469,81,364,485,132,211,2275,0,42,97,1
50,"Census Tract 9519, Orleans County, Vermont",50019,50019951900,610,385,20,246,422,181,166,2100,0,28,55,1
50,"Census Tract 35.03, Chittenden County, Vermont",50007,50007003503,374,412,28,186,335,123,170,2298,14,20,111,1
50,"Census Tract 102, Franklin County, Vermont",50011,50011010200,833,653,144,404,595,231,400,4084,0,133,131,1
50,"Census Tract 110, Franklin County, Vermont",50011,50011011000,1133,1155,84,653,902,315,502,6676,0,7,145,1
50,"Census Tract 107, Franklin County, Vermont",50011,50011010700,518,630,231,624,294,216,245,3277,6,56,80,1
50,"Census Tract 103, Franklin County, Vermont",50011,50011010300,657,533,153,433,432,226,252,2518,170,63,95,1
50,"Census Tract 109, Franklin County, Vermont",50011,50011010900,864,602,46,223,473,283,533,5457,0,90,66,1
50,"Census Tract 104, Franklin County, Vermont",50011,50011010400,754,400,35,217,558,202,212,3173,10,23,155,1
50,"Census Tract 106, Franklin County, Vermont",50011,50011010600,1314,1020,126,670,920,404,466,5896,0,64,95,1
50,"Census Tract 108, Franklin County, Vermont",50011,50011010800,589,725,108,532,376,287,227,3278,0,102,74,1
50,"Census Tract 101, Franklin County, Vermont",50011,50011010100,1527,1198,66,554,1217,373,647,7676,12,122,169,1
50,"Census Tract 105, Franklin County, Vermont",50011,50011010500,1358,1023,84,663,857,413,532,5974,0,53,211,1
50,"Census Tract 9574, Caledonia County, Vermont",50005,50005957400,633,728,281,770,510,171,191,2701,16,145,66,1
50,"Census Tract 9579, Caledonia County, Vermont",50005,50005957900,663,450,49,263,487,184,228,2812,0,25,111,1
50,"Census Tract 9571, Caledonia County, Vermont",50005,50005957100,561,300,19,270,344,96,170,1782,0,18,133,1
50,"Census Tract 9575, Caledonia County, Vermont",50005,50005957500,620,774,83,299,678,278,222,3277,0,68,105,1
50,"Census Tract 9570, Caledonia County, Vermont",50005,50005957000,919,708,62,405,730,227,327,3973,6,29,197,1
50,"Census Tract 9572, Caledonia County, Vermont",50005,50005957200,572,382,147,457,360,76,208,2132,0,107,28,1
50,"Census Tract 9573, Caledonia County, Vermont",50005,50005957300,445,474,146,218,427,194,226,3001,0,65,92,1
50,"Census Tract 9576, Caledonia County, Vermont",50005,50005957600,500,447,37,292,441,108,143,2158,0,30,121,1
50,"Census Tract 9578, Caledonia County, Vermont",50005,50005957800,575,457,53,310,418,159,198,2514,12,34,95,1
50,"Census Tract 9577, Caledonia County, Vermont",50005,50005957700,842,451,56,445,586,106,212,2586,0,44,69,1
50,"Census Tract 9672, Windham County, Vermont",50025,50025967200,819,456,63,429,538,179,192,2660,4,35,160,1
50,"Census Tract 9670, Windham County, Vermont",50025,50025967000,460,615,284,611,442,82,224,2271,152,131,90,1
50,"Census Tract 9680, Windham County, Vermont",50025,50025968000,352,468,40,302,320,158,80,1733,84,61,143,1
50,"Census Tract 9684, Windham County, Vermont",50025,50025968400,740,852,171,577,666,312,208,3510,38,49,103,1
50,"Census Tract 9673, Windham County, Vermont",50025,50025967300,410,322,16,223,341,84,100,1452,26,56,118,1
50,"Census Tract 9676, Windham County, Vermont",50025,50025967600,770,473,72,357,636,170,152,2745,54,25,215,1
50,"Census Tract 9677, Windham County, Vermont",50025,50025967700,536,410,66,413,343,120,136,1968,0,116,128,1
50,"Census Tract 9678, Windham County, Vermont",50025,50025967800,430,316,30,276,322,62,116,1331,0,19,158,1
50,"Census Tract 9685, Windham County, Vermont",50025,50025968500,873,1342,431,1308,760,249,329,3438,0,397,348,1
50,"Census Tract 9671, Windham County, Vermont",50025,50025967100,460,323,33,246,310,95,165,1706,0,60,160,1
50,"Census Tract 9674, Windham County, Vermont",50025,50025967400,211,139,3,109,168,21,55,785,14,3,32,1
50,"Census Tract 9683, Windham County, Vermont",50025,50025968300,448,353,26,238,367,107,115,1752,20,35,111,1
50,"Census Tract 9687, Windham County, Vermont",50025,50025968700,969,769,47,501,740,248,296,4306,0,52,149,1
50,"Census Tract 9679, Windham County, Vermont",50025,50025967900,305,214,12,207,222,50,52,829,8,0,85,1
50,"Census Tract 9675, Windham County, Vermont",50025,50025967500,257,162,9,116,204,45,63,877,0,22,73,1
50,"Census Tract 9705, Bennington County, Vermont",50003,50003970500,266,235,24,127,278,88,32,1161,0,16,45,1
50,"Census Tract 9702, Bennington County, Vermont",50003,50003970200,451,336,7,336,313,33,112,1334,26,17,172,1
50,"Census Tract 9706, Bennington County, Vermont",50003,50003970600,774,426,62,381,485,196,200,2643,16,20,90,1
50,"Census Tract 9707, Bennington County, Vermont",50003,50003970700,621,424,12,258,415,200,184,2001,0,89,100,1
50,"Census Tract 9708, Bennington County, Vermont",50003,50003970800,790,484,9,228,544,189,322,2870,0,86,197,1
50,"Census Tract 9709, Bennington County, Vermont",50003,50003970900,468,286,87,152,350,117,222,1880,14,5,38,1
50,"Census Tract 9703, Bennington County, Vermont",50003,50003970300,249,181,10,143,151,73,73,890,14,26,39,1
50,"Census Tract 9713, Bennington County, Vermont",50003,50003971300,805,390,68,297,502,179,285,3020,0,0,116,1
50,"Census Tract 9712, Bennington County, Vermont",50003,50003971200,785,809,456,921,634,155,340,3593,34,151,101,1
50,"Census Tract 9704, Bennington County, Vermont",50003,50003970400,912,773,297,741,725,162,354,4046,80,84,115,1
50,"Census Tract 9710, Bennington County, Vermont",50003,50003971000,686,469,135,476,447,214,153,2129,0,449,232,1
50,"Census Tract 9711, Bennington County, Vermont",50003,50003971100,871,836,87,543,598,316,337,4322,6,40,132,1
50,"Census Tract 9609, Addison County, Vermont",50001,50001960900,1235,849,75,640,917,238,364,4694,6,151,300,1
50,"Census Tract 9603, Addison County, Vermont",50001,50001960300,466,582,79,308,481,153,185,2829,30,100,29,1
50,"Census Tract 9601, Addison County, Vermont",50001,50001960100,699,811,18,296,655,236,341,4467,0,20,253,1
50,"Census Tract 9602, Addison County, Vermont",50001,50001960200,597,516,15,240,540,188,160,2899,0,18,145,1
50,"Census Tract 9604, Addison County, Vermont",50001,50001960400,1183,830,41,480,874,288,412,5360,26,79,325,1
50,"Census Tract 9607, Addison County, Vermont",50001,50001960700,750,821,153,671,595,202,256,3198,8,134,225,1
50,"Census Tract 9608, Addison County, Vermont",50001,50001960800,394,659,83,487,371,139,139,2011,62,871,173,1
50,"Census Tract 9606, Addison County, Vermont",50001,50001960600,664,521,23,373,437,179,219,2459,12,31,234,1
50,"Census Tract 9605, Addison County, Vermont",50001,50001960500,871,628,114,472,530,265,346,2931,60,131,262,1
50,"Census Tract 9610, Addison County, Vermont",50001,50001961000,547,342,18,212,383,133,179,2359,0,14,83,1
50,"Census Tract 9502, Essex County, Vermont",50009,50009950200,251,195,81,163,233,76,55,1001,0,20,42,1
50,"Census Tract 9501, Essex County, Vermont",50009,50009950100,513,242,27,256,356,68,102,1326,2,44,48,1
50,"Census Tract 9549, Washington County, Vermont",50023,50023954900,300,533,61,432,231,128,103,1740,0,99,75,1
50,"Census Tract 9553, Washington County, Vermont",50023,50023955300,848,815,30,276,879,327,211,4622,0,36,125,1
50,"Census Tract 9555, Washington County, Vermont",50023,50023955500,1021,1044,175,712,805,312,411,5931,20,310,236,1
50,"Census Tract 9545, Washington County, Vermont",50023,50023954500,550,471,72,293,472,127,201,2402,0,16,85,1
50,"Census Tract 9550, Washington County, Vermont",50023,50023955000,605,471,61,344,481,119,193,2175,58,52,155,1
50,"Census Tract 9512, Orleans County, Vermont",50019,50019951200,533,397,125,289,382,172,212,2305,4,46,105,1
50,"Census Tract 202, Grand Isle County, Vermont",50013,50013020200,974,585,46,371,723,242,269,3718,20,22,189,1
50,"Census Tract 201, Grand Isle County, Vermont",50013,50013020100,923,391,37,367,577,227,180,2959,14,60,116,1
50,"Census Tract 9597, Orange County, Vermont",50017,50017959700,453,367,43,297,319,123,124,1882,2,45,91,1
50,"Census Tract 9593, Orange County, Vermont",50017,50017959300,622,397,24,308,465,104,166,2273,24,36,86,1
50,"Census Tract 9596, Orange County, Vermont",50017,50017959600,674,476,5,371,417,160,207,2693,0,36,137,1
50,"Census Tract 9598, Orange County, Vermont",50017,50017959800,691,388,89,376,365,178,249,2486,36,60,50,1
50,"Census Tract 9595, Orange County, Vermont",50017,50017959500,1076,715,62,505,832,244,272,4267,14,60,198,1
50,"Census Tract 9592, Orange County, Vermont",50017,50017959200,800,573,60,416,541,213,263,3610,0,43,82,1
50,"Census Tract 9594, Orange County, Vermont",50017,50017959400,782,809,192,501,726,167,389,4261,32,256,219,1
50,"Census Tract 9590, Orange County, Vermont",50017,50017959000,588,311,52,354,272,63,262,1912,20,39,49,1
50,"Census Tract 5, Chittenden County, Vermont",50007,50007000500,565,1176,332,744,641,326,362,3485,248,1365,121,1
50,"Census Tract 26.01, Chittenden County, Vermont",50007,50007002601,888,1422,176,649,927,476,434,7228,248,83,105,1
50,"Census Tract 11, Chittenden County, Vermont",50007,50007001100,345,597,60,270,462,138,132,2314,88,98,125,1
50,"Census Tract 8, Chittenden County, Vermont",50007,50007000800,310,664,62,378,369,106,183,2130,100,221,107,1
50,"Census Tract 25, Chittenden County, Vermont",50007,50007002500,673,1019,309,1001,633,180,187,3631,540,350,123,1
50,"Census Tract 26.02, Chittenden County, Vermont",50007,50007002602,748,984,77,474,698,289,348,4985,38,95,52,1
50,"Census Tract 35.01, Chittenden County, Vermont",50007,50007003501,938,492,32,237,630,211,384,3181,0,20,302,1
50,"Census Tract 2, Chittenden County, Vermont",50007,50007000200,1012,1096,202,753,977,199,381,4868,226,154,104,1
50,"Census Tract 21.01, Chittenden County, Vermont",50007,50007002101,660,440,39,300,442,148,249,2960,0,0,73,1
50,"Census Tract 31, Chittenden County, Vermont",50007,50007003100,2074,1789,53,892,1497,638,889,9612,70,130,228,1
50,"Census Tract 27.02, Chittenden County, Vermont",50007,50007002702,866,1109,33,405,841,318,444,5511,16,66,96,1
50,"Census Tract 3, Chittenden County, Vermont",50007,50007000300,370,920,212,519,493,256,234,3042,198,590,103,1
50,"Census Tract 6, Chittenden County, Vermont",50007,50007000600,697,1033,404,699,806,225,404,3949,320,1013,201,1
50,"Census Tract 21.02, Chittenden County, Vermont",50007,50007002102,1412,1730,56,501,1399,685,613,9247,96,35,298,1
50,"Census Tract 22, Chittenden County, Vermont",50007,50007002200,977,1976,221,1209,1133,333,499,7513,470,609,227,1
50,"Census Tract 4, Chittenden County, Vermont",50007,50007000400,357,724,518,711,421,328,139,1595,502,845,69,1
50,"Census Tract 10, Chittenden County, Vermont",50007,50007001000,276,687,326,623,445,152,69,1972,98,354,61,1
50,"Census Tract 24, Chittenden County, Vermont",50007,50007002400,344,659,185,314,402,148,324,2657,102,104,43,1
50,"Census Tract 29, Chittenden County, Vermont",50007,50007002900,1323,1198,15,488,1035,422,591,7261,18,16,333,1
50,"Census Tract 30, Chittenden County, Vermont",50007,50007003000,856,779,12,300,715,284,348,4906,70,24,110,1
50,"Census Tract 34, Chittenden County, Vermont",50007,50007003400,1726,1217,228,838,1213,420,700,7033,212,114,290,1
50,"Census Tract 1, Chittenden County, Vermont",50007,50007000100,540,1041,240,602,636,255,328,4137,398,64,100,1
50,"Census Tract 35.02, Chittenden County, Vermont",50007,50007003502,1014,1067,37,572,792,339,415,5584,0,4,178,1
50,"Census Tract 27.01, Chittenden County, Vermont",50007,50007002701,1262,1165,100,672,1134,284,437,6047,104,22,127,1
50,"Census Tract 28, Chittenden County, Vermont",50007,50007002800,1012,942,21,392,753,348,482,5768,34,61,132,1
02,"Census Tract 2, Aleutians West Census Area, Alaska",02016,02016000200,250,611,102,257,285,142,279,4202,14,1119,48,1
02,"Census Tract 1, Aleutians West Census Area, Alaska",02016,02016000100,36,111,77,86,76,35,27,608,48,281,16,1
02,"Census Tract 1, Bristol Bay Borough, Alaska",02060,02060000100,142,133,39,97,129,41,47,716,4,89,40,1
02,"Census Tract 5, Kodiak Island Borough, Alaska",02150,02150000500,115,257,0,9,91,103,169,1252,0,116,45,1
02,"Census Tract 4, Kodiak Island Borough, Alaska",02150,02150000400,104,114,80,157,95,5,41,507,0,60,31,1
02,"Census Tract 1, Kodiak Island Borough, Alaska",02150,02150000100,302,213,133,169,240,96,143,1163,4,101,136,1
02,"Census Tract 2, Kodiak Island Borough, Alaska",02150,02150000200,956,1239,111,529,627,395,755,7580,0,119,193,1
02,"Census Tract 3, Kodiak Island Borough, Alaska",02150,02150000300,215,316,106,134,211,94,198,2019,0,224,59,1
02,"Census Tract 1, Northwest Arctic Borough, Alaska",02188,02188000100,35,80,731,124,115,103,504,459,2,629,94,1
02,"Census Tract 2, Northwest Arctic Borough, Alaska",02188,02188000200,90,408,451,235,205,162,347,1787,52,481,71,1
02,"Census Tract 7.01, Matanuska-Susitna Borough, Alaska",02170,02170000701,821,299,7,335,376,134,282,2473,34,20,164,1
02,"Census Tract 7.03, Matanuska-Susitna Borough, Alaska",02170,02170000703,859,316,15,317,305,260,308,3073,18,6,78,1
02,"Census Tract 7.05, Matanuska-Susitna Borough, Alaska",02170,02170000705,853,374,41,257,399,243,369,3606,58,27,77,1
02,"Census Tract 7.06, Matanuska-Susitna Borough, Alaska",02170,02170000706,1224,456,38,250,583,341,544,5128,18,54,116,1
02,"Census Tract 10.01, Matanuska-Susitna Borough, Alaska",02170,02170001001,847,319,42,206,457,206,339,3134,18,15,76,1
02,"Census Tract 10.03, Matanuska-Susitna Borough, Alaska",02170,02170001003,888,332,14,253,446,178,357,3545,14,0,75,1
02,"Census Tract 10.04, Matanuska-Susitna Borough, Alaska",02170,02170001004,1083,579,44,317,669,226,494,4958,60,40,178,1
02,"Census Tract 12.01, Matanuska-Susitna Borough, Alaska",02170,02170001201,1105,588,120,509,599,233,472,4372,58,64,129,1
02,"Census Tract 12.02, Matanuska-Susitna Borough, Alaska",02170,02170001202,875,610,87,335,462,282,493,4625,34,55,139,1
02,"Census Tract 9401, Prince of Wales-Hyder Census Area, Alaska",02198,02198940100,273,156,58,86,157,86,158,1000,14,68,22,1
02,"Census Tract 4, Southeast Fairbanks Census Area, Alaska",02240,02240000400,886,435,21,357,429,214,342,3474,0,54,277,1
02,"Census Tract 1.01, Matanuska-Susitna Borough, Alaska",02170,02170000101,148,40,63,109,108,20,14,211,0,9,86,1
02,"Census Tract 1.02, Matanuska-Susitna Borough, Alaska",02170,02170000102,545,278,24,293,315,52,187,1439,16,68,247,1
02,"Census Tract 4.01, Matanuska-Susitna Borough, Alaska",02170,02170000401,438,164,40,174,261,68,139,1360,0,1,70,1
02,"Census Tract 4.02, Matanuska-Susitna Borough, Alaska",02170,02170000402,552,159,17,246,268,77,137,1081,0,0,106,1
02,"Census Tract 5.01, Matanuska-Susitna Borough, Alaska",02170,02170000501,446,141,21,194,275,63,76,884,0,5,46,1
02,"Census Tract 5.02, Matanuska-Susitna Borough, Alaska",02170,02170000502,417,114,47,150,275,64,89,1051,0,7,23,1
02,"Census Tract 6.01, Matanuska-Susitna Borough, Alaska",02170,02170000601,1138,434,25,260,573,286,478,4445,134,63,141,1
02,"Census Tract 6.03, Matanuska-Susitna Borough, Alaska",02170,02170000603,1528,517,32,345,719,311,702,6137,0,30,162,1
02,"Census Tract 6.04, Matanuska-Susitna Borough, Alaska",02170,02170000604,1036,399,32,351,573,235,308,3394,26,24,205,1
02,"Census Tract 8, Matanuska-Susitna Borough, Alaska",02170,02170000800,1107,636,172,529,668,280,438,4045,12,180,77,1
02,"Census Tract 9, Matanuska-Susitna Borough, Alaska",02170,02170000900,831,228,95,346,421,148,239,2444,0,67,61,1
02,"Census Tract 13, Matanuska-Susitna Borough, Alaska",02170,02170001300,1427,512,29,469,758,286,455,5060,24,92,253,1
02,"Census Tract 11, Matanuska-Susitna Borough, Alaska",02170,02170001100,1230,686,24,310,667,323,640,6576,88,56,184,1
02,"Census Tract 2, Matanuska-Susitna Borough, Alaska",02170,02170000200,455,91,28,213,242,47,72,853,0,23,56,1
02,"Census Tract 2, Nome Census Area, Alaska",02180,02180000200,343,702,327,335,363,260,414,2858,16,490,88,1
02,"Census Tract 1, Nome Census Area, Alaska",02180,02180000100,72,122,1278,228,262,224,758,966,6,866,88,1
02,"Census Tract 1, Dillingham Census Area, Alaska",02070,02070000100,78,142,451,117,117,87,350,705,2,342,29,1
02,"Census Tract 2, Dillingham Census Area, Alaska",02070,02070000200,257,403,96,199,210,136,211,2062,18,148,60,1
02,"Census Tract 1, Haines Borough, Alaska",02100,02100000100,576,369,62,288,410,137,172,1573,4,163,227,1
02,"Census Tract 1, Yakutat City and Borough, Alaska",02282,02282000100,90,101,28,80,70,21,48,425,2,109,14,1
02,"Census Tract 4, Juneau City and Borough, Alaska",02110,02110000400,853,656,212,454,485,319,463,4135,280,65,132,1
02,"Census Tract 6, Juneau City and Borough, Alaska",02110,02110000600,1011,1479,196,891,967,376,452,6367,358,141,180,1
02,"Census Tract 2, Juneau City and Borough, Alaska",02110,02110000200,1095,1340,109,665,868,291,720,7034,494,80,116,1
02,"Census Tract 5, Juneau City and Borough, Alaska",02110,02110000500,403,860,396,771,544,207,137,1977,46,837,119,1
02,"Census Tract 3, Juneau City and Borough, Alaska",02110,02110000300,1045,1035,41,361,900,305,555,6032,132,125,83,1
02,"Census Tract 1, Juneau City and Borough, Alaska",02110,02110000100,1032,862,51,548,796,224,377,5026,184,91,201,1
02,"Census Tract 1, Lake and Peninsula Borough, Alaska",02164,02164000100,98,122,201,119,132,56,114,573,0,253,24,1
02,"Census Tract 1, Southeast Fairbanks Census Area, Alaska",02240,02240000100,519,233,76,230,387,43,168,1412,20,123,3,1
02,"Census Tract 1, Yukon-Koyukuk Census Area, Alaska",02290,02290000100,90,77,270,176,113,61,87,276,22,166,42,1
02,"Census Tract 2, Yukon-Koyukuk Census Area, Alaska",02290,02290000200,190,91,131,149,123,47,93,565,0,293,59,1
02,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",02290,02290000400,53,97,243,137,108,67,81,277,0,174,34,1
02,"Census Tract 3, Yukon-Koyukuk Census Area, Alaska",02290,02290000300,89,195,330,187,189,100,138,736,0,263,50,1
